x,y,z
-5.045366582773878061e-01,-6.351626548597324659e-03,9.013434989771000883e-01
-4.995028378281423653e-01,-1.420155170320505297e-03,8.990834710278433617e-01
-4.944711122991944929e-01,3.512410390795736147e-03,8.966536550744862444e-01
-4.894414754819849667e-01,8.446066576950860688e-03,8.940540719148132309e-01
-4.844139213416665535e-01,1.338080966096093921e-02,8.912847426142090912e-01
-4.793884440128589608e-01,1.831663575001605052e-02,8.883456885210252452e-01
-4.743650377953073649e-01,2.325354078954773238e-02,8.852369312813405111e-01
-4.693436971494664434e-01,2.819152056718522009e-02,8.819584928531117862e-01
-4.643244166920308391e-01,3.313057071678014026e-02,8.785103955197143266e-01
-4.593071911914318739e-01,3.807068672248024865e-02,8.748926619028738472e-01
-4.542920155633191071e-01,4.301186392283409127e-02,8.711053149749972135e-01
-4.492788848660436707e-01,4.795409751490956746e-02,8.671483780709100531e-01
-4.442677942961594240e-01,5.289738255841078263e-02,8.630218748990132749e-01
-4.392587391839561928e-01,5.784171397977883738e-02,8.587258295518704898e-01
-4.342517149890379735e-01,6.278708657626363987e-02,8.542602665162430942e-01
-4.292467172959579802e-01,6.773349501995507005e-02,8.496252106825885608e-01
-4.242437418099200275e-01,7.268093386176315007e-02,8.448206873540393680e-01
-4.192427843525556308e-01,7.762939753533824871e-02,8.398467222548819944e-01
-4.142438408577843734e-01,8.257888036092336792e-02,8.347033415385545219e-01
-4.092469073677636460e-01,8.752937654913188481e-02,8.293905717951821632e-01
-4.042519800289332554e-01,9.248088020464505232e-02,8.239084400586711432e-01
-3.992590550881589540e-01,9.743338532982465106e-02,8.182569738133801396e-01
-3.942681288889786639e-01,1.023868858282371286e-01,8.124362010003884915e-01
-3.892791978679532305e-01,1.073413755080862148e-01,8.064461500233816027e-01
-3.842922585511239220e-01,1.122968480855520146e-01,8.002868497541714143e-01
-3.796895340577753353e-01,1.169449765271199232e-01,8.048711995647307438e-01
-3.750889044567559671e-01,1.215940382932823860e-01,8.092847021448438261e-01
-3.704903625219664876e-01,1.262440352172972957e-01,8.135273825183171326e-01
-3.658939011505916161e-01,1.308949690185348680e-01,8.175992652649791692e-01
-3.612995133670938719e-01,1.355468412980990744e-01,8.215003745300989424e-01
-3.567071923272838729e-01,1.401996535343592309e-01,8.252307340343556508e-01
-3.521169313224560837e-01,1.448534070784023020e-01,8.287903670843833615e-01
-3.475287237835781307e-01,1.495081031494177870e-01,8.321792965839135414e-01
-3.429425632855197525e-01,1.541637428300292323e-01,8.353975450455365381e-01
-3.383584435513057875e-01,1.588203270615881901e-01,8.384451346031023267e-01
-3.337763584563752661e-01,1.634778566394483046e-01,8.413220870247776206e-01
-3.291963020328280698e-01,1.681363322082393141e-01,8.440284237267742240e-01
-3.246182684736367841e-01,1.727957542571625094e-01,8.465641657877599480e-01
-3.200422521368020967e-01,1.774561231153312657e-01,8.489293339639603087e-01
-3.154682475494263172e-01,1.821174389471816590e-01,8.511239487049541141e-01
-3.108962494116795372e-01,1.867797017479800037e-01,8.531480301701613866e-01
-3.063262526006316211e-01,1.914429113394552906e-01,8.550015982460180686e-01
-3.017582521739217150e-01,1.961070673655854746e-01,8.566846725638235238e-01
